epoch,train_loss,dev_char_f1,dev_char_precision,dev_char_recall,dev_comment_f1,runtime_sec,best_epoch
1,0.5941568495837086,0.5018638414753777,0.734354066985646,0.3811841843830717,0.8283712784588442,725.8624792098999,7
2,0.3768827562164818,0.5708603323282222,0.8058322767614563,0.4419829127756805,0.8870523415977961,731.9176051616669,7
3,0.3101766958805795,0.6093669583118888,0.7179625387414095,0.5293065765944764,0.8880931065353626,727.2395243644714,7
4,0.2618481110424396,0.5648783111469678,0.8737520798668885,0.4173455195708325,0.8845401174168297,730.1583375930786,7
5,0.21894697999585064,0.6129794582803128,0.7857697685257108,0.5024836081859726,0.9016393442622951,728.7661082744598,7
6,0.18609928063859668,0.6182184316512676,0.7654737459665591,0.518478044903636,0.8953594176524113,725.5389122962952,7
7,0.15966868898738681,0.6238706079196877,0.7112156663275687,0.5556328233657858,0.8969258589511754,726.7782645225525,7
8,0.13761641968051763,0.6155485819172243,0.7618349699545655,0.5163918140274191,0.9053420805998126,734.1881105899811,7
9,0.12200409928117803,0.6182731403970342,0.7765094623009913,0.5136101728591298,0.9067405355493998,767.9714953899384,7
10,0.11285146384686905,0.6237209302325581,0.751892346509672,0.532882972382277,0.9027522935779817,778.5972833633423,7
