method,split,n_rows,n_gold_positive,n_pred_positive,comment_precision,comment_recall,comment_f1,char_precision,char_recall,char_f1,tp_chars,fp_chars,fn_chars,runtime_sec,rows_per_sec,token_precision,token_recall,token_f1
xlmr_token_classifier,dev,1106,537,569,0.8717047451669596,0.9236499068901304,0.8969258589511754,0.7112156663275687,0.5556328233657858,0.6238706079196877,5593,2271,4473,18.047736167907715,61.28192420978964,0.7401700318809776,0.7022939248802622,0.7207347044366835
rule_compact_longest,dev,1106,537,882,0.5929705215419501,0.9739292364990689,0.7371388301620859,0.47752492006770736,0.5044704947347507,0.4906280193236715,5078,5556,4988,0.4386587142944336,2521.3223035565593,,,
xlmr_token_classifier,test,1106,531,555,0.8648648648648649,0.903954802259887,0.8839779005524862,0.7126923076923077,0.6002591512795594,0.6516616845436961,5559,2241,3702,18.45297122001648,59.93614723683573,0.7404580152671756,0.7352463454250135,0.7378429774517794
rule_compact_longest,test,1106,531,882,0.5827664399092971,0.967984934086629,0.7275300778485492,0.48159780155069193,0.5298563869992441,0.5045758354755784,4907,5282,4354,0.34089231491088867,3244.4263235711696,,,
