loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.8724,5.061180591583252,5.609065155807366e-06,0.28368794326241137,100,,,,,,,,,,,,,
,,,0.49929078014184397,176,1.1865136623382568,0.8166037735849057,0.6062632008404097,0.6805598224953063,0.626705861045215,6.9428,381.688,11.955,,,,,
0.7977,1.6652756929397583,1.1274787535410765e-05,0.5673758865248227,200,,,,,,,,,,,,,
0.887,7.2561163902282715,1.6940509915014164e-05,0.851063829787234,300,,,,,,,,,,,,,
,,,0.9985815602836879,352,1.156053900718689,0.7913207547169812,0.6011763464683231,0.6964954201513341,0.6206395461386981,6.9077,383.63,12.016,,,,,
0.8686,3.5958285331726074,1.9989656295644774e-05,1.1333333333333333,400,,,,,,,,,,,,,
0.9039,9.12686824798584,1.989596330469971e-05,1.4170212765957446,500,,,,,,,,,,,,,
,,,1.49645390070922,528,1.2117900848388672,0.7916981132075471,0.5875424075209482,0.6931444501336975,0.6164976586900138,7.1943,368.345,11.537,,,,,
0.8765,12.748747825622559,1.970558300477456e-05,1.700709219858156,600,,,,,,,,,,,,,
0.9129,10.039413452148438,1.9420375483494527e-05,1.9843971631205672,700,,,,,,,,,,,,,
,,,1.9957446808510637,704,1.212955355644226,0.8060377358490566,0.5939956572889061,0.6899584684530922,0.6231173044591634,6.8819,385.07,12.061,,,,,
0.8547,7.387721538543701,1.904312732634749e-05,2.2666666666666666,800,,,,,,,,,,,,,
,,,2.4936170212765956,880,1.2068202495574951,0.840754716981132,0.6278324126251004,0.6808215281333561,0.64997138818584,7.0922,373.652,11.703,,,,,
0.8821,6.778445243835449,1.857752439068853e-05,2.550354609929078,900,,,,,,,,,,,,,
0.8666,11.59908390045166,1.8028115793517784e-05,2.8340425531914892,1000,,,,,,,,,,,,,
,,,2.99290780141844,1056,1.1894383430480957,0.8456603773584905,0.6348077660427341,0.6731125903168914,0.6517001038212993,6.9104,383.483,12.011,,,,,
0.8739,15.133008003234863,1.7400269464884636e-05,3.1163120567375886,1100,,,,,,,,,,,,,
0.8664,11.646429061889648,1.6700119701178378e-05,3.4,1200,,,,,,,,,,,,,
,,,3.4907801418439717,1232,1.2153583765029907,0.810566037735849,0.6029780015876681,0.6914718097513797,0.6310845065396892,6.6966,395.721,12.394,,,,,
0.8536,5.763549327850342,1.5934507230729492e-05,3.6836879432624112,1300,,,,,,,,,,,,,
0.8427,7.09552001953125,1.511091237730333e-05,3.9673758865248225,1400,,,,,,,,,,,,,
,,,3.9900709219858155,1408,1.199989914894104,0.8071698113207547,0.608747571926285,0.6885873584798317,0.6271478525830342,6.5539,404.337,12.664,,,,,
0.8536,7.458410263061523,1.4237381974504242e-05,4.249645390070922,1500,,,,,,,,,,,,,
,,,4.487943262411347,1584,1.2200355529785156,0.7992452830188679,0.5921038355640893,0.6904136086931786,0.6192879508088668,6.7023,395.388,12.384,,,,,
0.8373,7.428771018981934,1.3322450745163993e-05,4.533333333333333,1600,,,,,,,,,,,,,
0.8241,10.336861610412598,1.2375057913867701e-05,4.817021276595745,1700,,,,,,,,,,,,,
,,,4.987234042553191,1760,1.2088110446929932,0.8362264150943396,0.6297897386181844,0.6763725322865107,0.645068114889881,6.6337,399.475,12.512,,,,,
0.8266,2.151752471923828,1.140445986734444e-05,5.099290780141844,1800,,,,,,,,,,,,,
0.8229,14.600088119506836,1.0420139716063617e-05,5.382978723404255,1900,,,,,,,,,,,,,
,,,5.485106382978723,1936,1.2296793460845947,0.8249056603773585,0.6127926754235787,0.6825510610456846,0.6360305947332288,6.4333,411.916,12.902,,,,,
,,,5.485106382978723,1936,,,,,,,,,1317.2552,171.242,2.68,1761512198738760.0,0.8574344767026665
,,,5.485106382978723,1936,1.1932016611099243,0.8456603773584905,0.6353237465624689,0.6727598566308243,0.651954885480087,7.1906,368.535,11.543,,,,,
