artifact,path,exists,size_bytes
vihsd_test_standard,outputs\resources\vihsd_test_clean_standard.csv,True,1440912
vihos_span_train_standard,outputs\resources\vihos_span_train_standard.csv,True,2998752
vihos_span_dev_standard,outputs\resources\vihos_span_dev_standard.csv,True,374232
vihos_span_test_standard,outputs\resources\vihos_span_test_standard.csv,True,347286
toxic_phrases_candidates_train,outputs\resources\toxic_phrases_candidates_train.csv,True,137449
extension_data_contract,outputs\resources\extension_data_contract.json,True,2278
data_audit_vihsd,outputs\results\data_audit_vihsd.csv,True,95
data_audit_vihos_span,outputs\results\data_audit_vihos_span.csv,True,303
leakage_overlap_report,outputs\results\leakage_overlap_report.csv,True,297
