epoch,train_loss,train_accuracy,train_f1_macro,dev_loss,dev_accuracy,dev_f1_macro,lr
1,0.9145327773284219,0.5779137296626324,0.5734759732899086,0.7710820407687493,0.7124528301886792,0.5329474708841694,0.0008
2,0.6855531176095123,0.7425189519882963,0.74240968896772,0.7353236305488731,0.7267924528301887,0.550601411086655,0.0008
3,0.5589565331564784,0.812386398900563,0.8123675016708702,0.723456016711469,0.7520754716981132,0.5658373483834205,0.0008
4,0.4692407494192296,0.8596887884027131,0.8593593396501484,0.660822233973809,0.7947169811320755,0.5897790637090248,0.0008
5,0.41801337990988263,0.8880613556767301,0.8879634491178153,0.7103326816828746,0.7633962264150943,0.5755552925395511,0.0008
6,0.382856283967586,0.9041982533138272,0.9039853637615926,0.6515169785607536,0.8056603773584906,0.6055102345670341,0.0008
7,0.35329949100209807,0.9213104579509687,0.9208728545460959,0.6424249395334496,0.8154716981132075,0.6072656747395075,0.0008
8,0.328289749489485,0.9326151527242098,0.9324890822191939,0.6463197570476892,0.8222641509433962,0.6193945286481662,0.0008
9,0.31721305916531,0.9371813627698719,0.9371881036643366,0.6681918653452171,0.8192452830188679,0.6129566687098387,0.0008
10,0.3033910135684424,0.9429445404974066,0.9428570791297789,0.6504813652218513,0.8169811320754717,0.5985320319652964,0.00032
11,0.2857982453591182,0.9500820144522765,0.9499996340909432,0.6522666703979924,0.8241509433962264,0.6170560052933212,0.00032
12,0.2727025220133541,0.9583277918162876,0.9583097430041964,0.6491689120598559,0.8279245283018868,0.6174699997869174,0.00032
13,0.26915212721590426,0.9579288025889967,0.9578045727358077,0.6547134379620821,0.8260377358490566,0.6114417362314807,0.00012800000000000002
